search_term,product_name,unit_size,price,store,date,clean_price,normalized_qty,unit_type,unit_uncertain,price_per_unit,brand_type,category
Salted Butter,"Walmart Land O Lakes Salted Butter Balls, 8 oz Bag",8 oz Bag,$3.97,Walmart,2026-02-03,3.97,8.0,oz,False,0.49625,National,Dairy
Salted Butter,"Walmart Great Value Sweet Cream Salted Butter, 16 oz, 4 Sticks",4 Sticks,$3.44,Walmart,2026-02-03,3.44,,,True,,National,Dairy
Bananas,"Walmart Marketside Fresh Organic Bananas, Bunch",Bunch,$1.71,Walmart,2026-02-03,1.71,,,True,,National,Produce
Bananas,Walmart Trader Joe's Dried Baby Bananas Nothing Added Fruit (6 oz),,$10.97,Walmart,2026-02-03,10.97,,,True,,National,Produce
Bananas,Walmart Trader Joes Freeze Dried Bananas (4 Pack),,$25.87,Walmart,2026-02-03,25.87,,,True,,National,Produce
Bananas,"Walmart Mother Earth Products Freeze Dried Bananas, Quart Jar",Quart Jar,$14.95,Walmart,2026-02-03,14.95,,,True,,National,Produce
Bananas,"Walmart Freeze Dried Bananas, 4 oz, Light Weight Great Tasting",Light Weight Great Tasting,$12.99,Walmart,2026-02-03,12.99,,,True,,National,Produce
Gala Apples,"Walmart Fresh Gala Apples, 3 lb Bag",3 lb Bag,$2.96,Walmart,2026-02-03,2.96,48.0,oz,False,0.061667,National,Produce
Gala Apples,"Walmart Fresh Gala Apple, Each",Each,$0.73,Walmart,2026-02-03,0.73,1.0,count,False,0.73,National,Produce
Gala Apples,"Walmart Fresh Organic Gala Apples, 3 lb Bag",3 lb Bag,$4.97,Walmart,2026-02-03,4.97,48.0,oz,False,0.103542,National,Produce
Gala Apples,"Walmart Fresh Gala Apples, 9-Count Box (4 lb.)",9-Count Box (4 lb.),$25.99,Walmart,2026-02-03,25.99,144.0,oz,False,0.180486,National,Produce
Gala Apples,Walmart The Perfect Garnish Co. Dehydrated Apples Gala - 35 slices - Natural Fruit,,$14.99,Walmart,2026-02-03,14.99,,,True,,National,Produce
Iceberg Lettuce,"Walmart Fresh Iceberg Lettuce, Each",Each,$1.97,Walmart,2026-02-03,1.97,1.0,count,False,1.97,National,Produce
Iceberg Lettuce,"Walmart Marketside Fresh Shredded Iceberg Lettuce, 8 oz, Bag",Bag,$1.97,Walmart,2026-02-03,1.97,,,True,,National,Produce
Iceberg Lettuce,"Walmart Marketside Organic Fresh Iceberg Lettuce, Each",Each,$2.66,Walmart,2026-02-03,2.66,1.0,count,False,2.66,National,Produce
Iceberg Lettuce,"Walmart Marketside Fresh Shredded Iceberg Lettuce, 16 oz Bag",16 oz Bag,$3.84,Walmart,2026-02-03,3.84,16.0,oz,False,0.24,National,Produce
Iceberg Lettuce,"Walmart Fresh Produce, Petite Romaine Lettuce, 2 Count Bag",2 Count Bag,$2.27,Walmart,2026-02-03,2.27,2.0,count,False,1.135,National,Produce
Ground Beef 80/20,"Walmart 80% Lean / 20% Fat Ground Beef Chuck, 2.25 lb Tray, Fresh, All Natural*",All Natural*,$14.93,Walmart,2026-02-03,14.93,,,True,,National,Meat
Ground Beef 80/20,"Walmart 80% Lean / 20% Fat Ground Beef Chuck, 1 lb Tray, Fresh, All Natural*",All Natural*,$6.93,Walmart,2026-02-03,6.93,,,True,,National,Meat
Ground Beef 80/20,"Walmart 80% Lean / 20% Fat Ground Beef Chuck, 1 lb Roll, Fresh, All Natural*",All Natural*,$6.83,Walmart,2026-02-03,6.83,,,True,,National,Meat
Ground Beef 80/20,"Walmart 80% Lean / 20% Fat Ground Beef Chuck, 5 lb Roll, Fresh, All Natural*",All Natural*,$26.43,Walmart,2026-02-03,26.43,,,True,,National,Meat
Ground Beef 80/20,"Walmart 80% Lean / 20% Fat Ground Beef Chuck, 3 lb Roll, Fresh, All Natural*",All Natural*,$17.93,Walmart,2026-02-03,17.93,,,True,,National,Meat
